,name,latitude,longitude,empty_slots,free_bikes,total_bikes
90,Pretoria Ave / Broadview Ave,43.6783213,-79.35822,13,6,19
91,Broadview Ave / Westwood Ave,43.6848652,-79.356602,8,15,23
92,Fulton Ave / Pape Ave,43.68395,-79.347046,9,10,19
93,Cosburn Ave / Donlands Ave,43.690537,-79.341307,14,3,17
94,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,15,0,15
95,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,11,8,19
96,King St E / Berkeley St,43.651885,-79.3649,3,14,17
97,Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,12,11,23
98,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,9,6,15
99,Soho St / Queen St W,43.6494896,-79.393535,3,4,7
100,Davenport Rd / Lansdowne Ave,43.671526,-79.44874,7,12,19
101,Front St W / University Ave (2),43.6452972,-79.3827914,3,16,19
102,457 King St W,43.6452091,-79.3960744,10,8,18
103,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,5,13,18
104,Roxborough St W / Yonge St,43.678077,-79.390328,13,4,17
105,Crawford St / Queen St W,43.645665,-79.415345,6,13,19
106,Lisgar St / Dundas St W - SMART,43.6493472,-79.42668,3,4,7
107,Dundas St E / Regent Park Blvd,43.660207,-79.361275,2,24,26
108,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,15,12,27
109,Nelson St / Duncan St,43.648711,-79.389728,24,6,30
110,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,2,12,14
111,Queen St E / Sackville St,43.6561111,-79.36138888888888,6,9,15
112,Mill St / Tannery Rd,43.652219,-79.354455,6,21,27
113,Cherry St / Distillery Ln,43.650279,-79.356832,6,8,14
114,Queen St W / Spadina Ave,43.649147,-79.395504,8,3,11
115,Yonge St / Harbour St,43.643795,-79.375413,29,7,36
116,Willcocks St / St. George St,43.662085,-79.397735,12,5,17
117,Dundas St E / Parliament St,43.659575,-79.365769,4,11,15
