,name,latitude,longitude,empty_slots,free_bikes,total_bikes
399,Morningside Park (Highland Creek Trail),43.779353,-79.193023,17,5,22
400,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,12,7,19
401,Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,13,4,17
402,Twelfth St / Thirteenth St,43.6002896,-79.5108692,2,18,20
403,Florence Gell Park,43.6615467,-79.498398,7,8,15
404,Wallace Ave / Pauline Ave,43.6632257,-79.4397052,2,15,17
405,Kingston Rd / Beech Ave,43.680095,-79.291714,6,9,15
406,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,11,8,19
407,Union Station,43.645609,-79.380386,10,30,40
408,Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,15,6,21
409,Seaton St / Dundas St E - SMART,43.658777,-79.369596,3,29,32
410,Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,8,5,13
411,Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,16,1,17
412,Torresdale Ave / Antibes Dr,43.77953,-79.45233,1,13,14
413,Esther Shiner Stadium,43.7774374,-79.4447096,9,14,23
414,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,11,3,14
415,Fleming Cres / Bayview Ave,43.707045,-79.375437,4,11,15
416,King St E / Victoria St,43.6495789,-79.3762096,17,2,19
417,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,15,1,16
418,Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,14,0,14
419,Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,12,5,17
420,Runnymede Rd / Annette St,43.6596299,-79.4799176,12,3,15
421,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,12,3,15
422,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,18,4,22
423,Davisville Ave / Pailton Cres,43.69933,-79.39199,7,12,19
424,High Park Ave / Dundas St W,43.6653032,-79.4701178,1,14,15
425,Judson St / Royal York Rd,43.6162721,-79.4990363,13,6,19
426,Wilket Creek Park,43.720645,-79.355474,21,4,25
427,Annette St / Dundas St W,43.6641174,-79.4588522,1,13,14
428,Noble St / Queen St W,43.6424558,-79.4296346,12,2,14
429,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,12,7,19
430,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,7,8,15
431,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,8,7,15
432,University of Toronto Scarborough,43.7842419,-79.1849889,13,3,16
433,190 Queens Quay E,43.6451308,-79.36536439999999,5,10,15
434,324 Cherry St,43.6482995,-79.3552533,14,5,19
435,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,16,1,17
436,Walton St / Elizabeth St - SMART,43.657838,-79.38631,17,3,20
437,Waterfront Trail (Rouge Hill),43.778015,-79.131911,7,8,15
438,St Clair Ave W / Gunns Rd,43.672079,-79.470171,7,16,23
439,Pape Ave / Gamble Ave,43.690237,-79.350119,9,10,19
440,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,10,8,18
441,Church St / Bloor St E,43.671389,-79.382919,14,0,14
442,200 Bloor St E,43.671561,-79.38117,4,19,23
443,Bloor St W / Balmuto St,43.669903,-79.387802,10,1,11
444,Moore Park,43.693256,-79.383238,10,4,14
445,Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,7,0,7
446,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,1,14,15
447,Bloor St W / Brock Ave,43.6589882,-79.438715,5,6,11
448,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,11,4,15
449,1 Market St - SMART,43.6469928,-79.3706665,2,14,16
450,Brick Works,43.683884,-79.36647,15,10,25
451,University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,17,1,18
452,University Ave / King St W - SMART,43.6477785,-79.3847928,18,4,22
453,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,15,4,19
454,Summerhill Subway Station,43.681944,-79.390556,10,1,11
455,Niagara St / Richmond St W,43.64534,-79.409597,5,21,26
456,Beaty Ave / Queen St W,43.6393107,-79.4408141,3,15,18
457,Blantyre Park,43.68306889999999,-79.279682,10,12,22
458,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,8,7,15
459,Donlands Subway Station,43.681114,-79.3373885,6,8,14
460,Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,2,13,15
461,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,10,4,14
462,Victoria St / Queen St E,43.652822,-79.378208,19,4,23
463,285 Victoria St,43.656633,-79.379625,7,31,38
464,Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,8,7,15
465,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,16,1,17
466,Bay St / Scollard St,43.672152,-79.39018,13,2,15
467,Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,6,13,19
468,Sunnybrook Health Centre - L Wing,43.72268,-79.37644,9,6,15
469,Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,19,7,26
470,Yonge St / St Clair Ave,43.68850459999999,-79.3940052,9,10,19
471,Spadina Ave / Blue Jays Way,43.641705,-79.393295,4,26,30
472,Bloor St W / Riverside Dr,43.647663,-79.487583,11,12,23
473,Sunnybrook Health Centre - S Wing,43.720998,-79.377456,8,3,11
474,Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,9,2,11
475,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,9,10,19
476,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,3,8,11
477,King's Mill Park,43.64920406876699,-79.49336334201408,18,9,27
478,University Ave / Richmond St W,43.6503935,-79.3860211,27,7,34
479,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,2,13,15
480,406 Oakwood Ave,43.68827060022711,-79.43937767081853,16,2,18
481,Granby St / Church St - SMART,43.6614605,-79.37894570000002,5,19,24
482,Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,14,6,20
483,Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,16,6,22
484,Yonge St / Orchard View Blvd,43.7083577,-79.39886200000001,23,11,34
485,Hanna Ave / Liberty St,43.63840090000001,-79.4197107,2,11,13
486,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,10,8,18
487,St Columba Pl / St Clair Ave E,43.70567,-79.310554,6,13,19
488,Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,17,1,18
489,King St E / River St,43.656784782853144,-79.35627385059036,1,14,15
490,Yonge St / Golfdale Rd,43.732016,-79.403637,11,4,15
491,909 Yonge St,43.67515255542865,-79.38849615969643,13,1,14
492,640 Bloor Street E,43.67468857448634,-79.36701962396272,8,9,17
493,York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,6,10,16
494,1303 Yonge St - SMART,43.6846177,-79.39245919999999,14,2,16
495,York University Station (South) - SMART,43.77345,-79.5002,16,0,16
496,Woodbine Subway Station,43.686442,-79.313404,10,5,15
497,Spadina Ave / Sussex Ave - SMART,43.66402799999999,-79.40297869999999,15,20,35
498,Simcoe St / Queen St W,43.65049,-79.3873,10,29,39
499,Bathurst St / Front St W,43.64134790000001,-79.4013882,5,22,27
500,Bay St / Harbour St (East),43.64215,-79.377,8,14,22
501,East Liberty St / Western Battery Rd,43.6392777,-79.4115736,3,14,17
502,King St W / Brant St,43.645102,-79.39744979999999,3,18,21
503,Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,7,1,8
504,High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,2,13,15
505,20 Eaton Ave,43.680012,-79.34403250000001,2,22,24
506,Fort York Blvd / Garrison Rd,43.637381,-79.406112,5,8,13
507,Housey St / Dan Leckie Way,43.63811,-79.397877,2,23,25
508,1525 Dundas St W,43.64957,-79.432446,5,10,15
509,85 Lee Ave,43.6700692,-79.2971326,1,20,21
510,Mutual St / Shuter St (Arena Gardens),43.6559476,-79.37558829999999,0,19,19
511,Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,6,12,18
512,Heyworth Cres / Kingston Rd,43.6750806,-79.3068697,11,8,19
513,St Clair Ave W / Caledonia Rd,43.6754247,-79.4547813,8,4,12
514,Wellington St W / Stafford St,43.6409957,-79.40966630000001,6,16,22
515,111 Broadview Ave,43.6593483,-79.34993659999999,1,14,15
516,Christie St / Dupont St,43.67168,-79.421192,14,5,19
517,Richmond St E / Jarvis St Green P,43.652634,-79.374222,1,14,15
518,Bathurst St / Dundas St W,43.6519501,-79.4060978,9,17,26
519,Oak St / Sackville St,43.6613642,-79.3641171,8,11,19
520,24 Mountjoy Ave,43.6808774,-79.3304491,8,9,17
521,Colgate Ave / Carlaw Ave,43.6623658,-79.3413344,2,17,19
522,Felstead Ave/Gillard Ave (Monarch Park),43.6791345,-79.3263159,11,15,26
523,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,3,12,15
524,Coronation Park (Martin Goodman Trail),43.635495,-79.40352209999999,12,5,17
525,101 Cedarvale Ave,43.6868681,-79.3110942,4,11,15
526,St Clair Ave W / Oakwood Ave,43.678177,-79.435364,14,1,15
527,Beltline Trail / Yonge St,43.6962302,-79.39504339999999,15,7,22
528,Shaw St / Essex St - SMART,43.667076,-79.425116,14,0,14
529,St Clair Ave W / Robina Ave,43.68005,-79.43469,8,7,15
530,Joseph J Piccininni Community Centre,43.675648,-79.4527619,6,12,18
531,11 Spadina Rd,43.6677246,-79.4041365,7,5,12
532,Vanauley St / Queen St W - SMART,43.648437,-79.39838,6,6,12
533,Sherbourne St / Wellesley St E,43.6673,-79.374,9,21,30
534,Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,15,7,22
535,Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,0,19,19
536,Havelock St / Dewson St,43.6554793,-79.4302462,12,3,15
537,St Clair West Subway Station - Heath Entrance,43.686352,-79.415894,10,12,22
538,Queen St W / Shaw St,43.6442457,-79.41610440000001,7,13,20
539,York University Station (North),43.7741,-79.5005,15,0,15
540,Spadina Rd / St.Clair Ave West,43.683979,-79.410657,6,9,15
541,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,6,9,15
542,Cherry St / Mill St,43.6513927,-79.35794659999999,6,9,15
543,Jarvis St / Maitland Pl,43.6647688,-79.3772602,11,6,17
544,Temperance St / Bay St,43.6506,-79.381285,20,2,22
545,Cherry Beach Sports Fields (55 Unwin Ave),43.6408346,-79.3429074,13,2,15
546,Randolph Ave / Perth Ave,43.6585504,-79.4497659,7,12,19
547,Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,12,15,27
548,Lumsden Ave / Cedarvale Ave,43.693187,-79.314283,10,1,11
549,Niagara St / Portland St,43.6425791,-79.40011729999999,5,4,9
550,Church St / The Esplanade,43.6469251,-79.3733192,5,13,18
551,King St W / Portland St,43.644395,-79.40065430000001,13,1,14
552,Widmer St / King St W,43.6463574,-79.391206,8,1,9
553,Wellesley St E / Parliament St,43.6682342,-79.3702641,9,5,14
554,Yonge St / Macpherson Ave,43.6791876,-79.39071899999999,8,7,15
555,Davenport Rd / Bedford Rd,43.674446,-79.398331,15,0,15
556,265 Armadale Ave,43.6501644,-79.48296909999999,2,15,17
557,800 Fleet St,43.636804,-79.408832,1,15,16
558,St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,14,5,19
559,Victoria Park Ave / Kingston Rd,43.68035,-79.28357,7,7,14
560,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,3,16,19
561,Highview Ave / Kennedy Rd,43.702418581463505,-79.2563167072858,6,9,15
562,Kingston Rd / Warden Ave,43.68824135931814,-79.27046628033244,4,10,14
563,Birchcliff Ave / Kingston Rd,43.691688,-79.265027,7,8,15
564,Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,10,4,14
565,Birchmount Rd / Kingston Rd,43.69401297794256,-79.26257204548136,8,7,15
566,Pharmacy Ave / Danforth Ave,43.6929478,-79.28339980000001,8,7,15
567,Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,10,5,15
568,Eglinton Ave W / Gilbert Ave,43.69263249999999,-79.4627536,14,5,19
569,Sharpe St / Park St (Sandown Park),43.7105975,-79.2541175,14,1,15
570,Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,15,2,17
571,Marlee Ave / York Beltline Trail,43.70163,-79.44099,17,2,19
572,Bert Robinson Park,43.688028,-79.460265,8,6,14
573,Rogers Rd / Prospect Cemetery,43.68323,-79.455765,16,6,22
574,Eglinton Ave W / Ennerdale Rd,43.69466,-79.45376999999999,13,1,14
575,Chester Subway Station,43.6784834,-79.3513564,5,3,8
576,Bloor St W / Old Mill Trl,43.65016869999999,-79.4963345,6,13,19
577,Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,9,4,13
578,Luttrell Ave / Danforth Ave,43.6897656,-79.2939525,9,6,15
579,1926 Lake Shore Blvd W,43.6357643,-79.4674917,2,21,23
580,36 Park Lawn Rd,43.62369169999999,-79.4838132,6,9,15
581,Howard Park Ave / Parkside Dr,43.648657,-79.458111,6,9,15
582,Ted Rogers Way / Bloor St E,43.671293,-79.380471,12,10,22
583,Walter Saunders Park,43.699327072589426,-79.4493630391668,12,1,13
584,Park Lawn Rd / Berry Rd,43.63560589999999,-79.4934616,12,3,15
585,Tobermory Dr / Finch Corridor Trail,43.7611741,-79.5114452,15,3,18
586,Driftwood Ave / Finch Corridor Trail,43.7603624,-79.5162777,14,4,18
587,Grand Avenue Park,43.62313,-79.4918,9,11,20
588,The Pond Rd / Shoreham Dr,43.772445,-79.511912,5,10,15
589,Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,2,8,10
590,Kingston Rd / Ridgemoor Ave,43.70643614257429,-79.25104443353288,9,1,10
591,Moss Park,43.655972,-79.370638,5,10,15
592,York St / Lake Shore Blvd W,43.641952,-79.380723,2,16,18
593,St. Andrew's Playground Park,43.646552,-79.399586,1,10,11
594,College St / Henry St ,43.6591529,-79.3947953,11,0,11
595,Emerson Ave / Bloor St W,43.659055,-79.440764,9,13,22
596,Sherbourne St / Isabella St,43.669576,-79.375961,9,10,19
597,Victoria Park Ave / Dawes Rd,43.706466,-79.29511,10,9,19
598,Roncesvalles Ave / Fermanagh Ave,43.646314469245205,-79.44879407014527,1,18,19
599,Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084,13,17,30
600,St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,8,6,14
601,Albany Ave / Bloor St W,43.66554144421798,-79.41010317605742,8,7,15
602,Pioneer Village Subway Station,43.77649016265579,-79.5085364909097,11,0,11
603,Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,19,1,20
604,Armoury St / Chestnut St,43.65351799690878,-79.38591063795928,5,9,14
605,Lake Shore Blvd W / Brow Dr,43.59119994025076,-79.54449133041076,2,11,13
606,25 Booth Ave,43.6544839,-79.34105699999999,3,18,21
607,Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,18,5,23
608,St. Clair Ave W / Osler St,43.673843560032594,-79.46092618902435,1,10,11
609,Simcoe St / King St W,43.647508351306186,-79.38604436555764,9,6,15
610,Grenoble Dr / Gateway Blvd,43.71513211098082,-79.33413623320465,10,4,14
611,Grenoble Dr / Deauville Ln,43.71649675774656,-79.33089439933623,10,5,15
612,Grenoble Dr / Vendome Pl,43.715537998967406,-79.32811427663442,6,5,11
613,Thorncliffe Park Dr / Leaside Park Trail,43.70400405297843,-79.34807015078738,4,10,14
614,Ferrand Dr / Rochefort Dr,43.719632535237835,-79.33199950866776,16,3,19
615,165 McRae Dr,43.70656159598004,-79.36781965092621,5,10,15
616,75 Thorncliffe Park Dr,43.70518328279426,-79.34224729962946,8,2,10
617,Mount Pleasant Rd / Davisville Ave - SMART,43.70088225686968,-79.38736016665911,9,6,15
618,St Clair Ave W / Avenue Rd ,43.68688938028234,-79.40099513147447,14,1,15
619,HTO Park (Queens Quay W),43.63796,-79.387502,9,15,24
620,Nassau St / Bellevue Ave,43.65484215542248,-79.40351232494366,5,10,15
621,Huron St / Harbord St,43.6637,-79.400053,15,4,19
622,Ward St / Wallace Ave,43.662857,-79.44618,0,15,15
623,Starspray Blvd / Lawrence Ave E,43.788319,-79.123505,8,10,18
624,The Well,43.643025055165865,-79.39430137761319,5,14,19
625,60 Carl Hall Rd - SMART,43.7482972,-79.47570569999999,18,0,18
626,HTO Park West,43.63737145931921,-79.38976958703309,12,18,30
627,Downsview Park Blvd / Keele St  - SMART,43.73673829262113,-79.48227195568086,12,5,17
628,Downsview Park Subway Station - SMART,43.753107,-79.479626,17,2,19
629,Keele St / Dovehouse Ave - SMART,43.7494501,-79.4869662,11,5,16
630,Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503,12,1,13
631,Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,5,17,22
632,Phoebe St / Spadina Ave,43.650033,-79.396555,12,20,32
633,Lynn Williams St / Pirandello St ,43.639124514797004,-79.41423166721611,5,11,16
634,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,23,10,33
635,College St / Huron St,43.658148,-79.398167,16,3,19
636,Northern Dancer Blvd / Lake Shore Blvd E,43.663162,-79.309765,15,11,26
637,Spadina Rd / Austin Terrace,43.67883,-79.408723,7,10,17
638,York St / Queens Quay W,43.640132,-79.380464,8,46,54
639,Front St W / University Ave (1),43.6451635,-79.3831757,5,13,18
640,Willingdon Blvd / Bloor St W (Green P),43.64817,-79.510392,10,4,14
641,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,3,9,12
642,Wellesley Station Green P,43.66496415990742,-79.38355031526893,2,4,6
643,York St / Harbour St (Love Park),43.640741,-79.3798521,5,8,13
644,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,6,10,16
645,Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105,17,9,26
646,Simcoe St / Dundas St W - SMART,43.655103,-79.389295,4,16,20
647,College St / Markham St,43.6563888888889,-79.4091666666667,17,1,18
648,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,0,25,25
649,High Park - West Rd,43.6525077,-79.4654233,22,0,22
650,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,16,7,23
651,Front St E / Cherry St,43.652686,-79.358395,6,9,15
652,519 Church St  - SMART,43.666850777484896,-79.38114574756837,5,7,12
653,Dundas St E / River St,43.661152,-79.358505,5,13,18
654,Shuter St/River St,43.659296,-79.358035,6,9,15
655,Madison Ave / Bloor St W,43.667158,-79.402761,14,1,15
656,Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,6,8,14
657,Brimley Rd / McCowan District Park,43.72704086366749,-79.24391402446746,14,5,19
658,Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,4,9,13
659,King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,2,9,11
660,Parkcrest Dr / Kingston Rd,43.73596719224253,-79.21995221481933,8,7,15
661,Scarborough Soccer Centre,43.7154661,-79.2876595,14,5,19
662,Lansdowne Ave / Seaforth Ave ,43.642904395956684,-79.43746059447746,6,6,12
663,Danforth Rd / Birchmount Rd ,43.70688,-79.26850999999999,11,2,13
664,Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,4,12,16
665,Yonge St / Montgomery Ave - SMART,43.70960859570095,-79.39915125005619,10,2,12
666,552 Birchmount Rd,43.71176278859601,-79.27028152889692,15,0,15
667,Highfield Rd / Gerrard St E,43.671771,-79.324961,4,15,19
668,Eastgate Ct / Pharmacy Ave ,43.7110442448186,-79.29127313845584,12,3,15
669,Firvalley Ct / Warden Ave,43.7032112,-79.2787149,15,4,19
670,Midland Ave / Kingston Rd,43.7128578,-79.2487086,12,6,18
671,Bellamy Rd S / Kingston Rd,43.7323277855009,-79.22496619876934,9,10,19
672,Avenue Rd / Cumberland St ,43.669821695059376,-79.39444614603269,9,6,15
673,High Park Amphitheatre,43.645653,-79.464366,16,7,23
674,High Park Outdoor Pool,43.649217,-79.465319,22,5,27
675,Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,8,6,14
676,Avenue Rd / Macpherson Ave ,43.67794376009951,-79.39836278587889,8,5,13
677,Princes' Gates,43.634565,-79.409161,15,0,15
678,Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,4,11,15
679,Bay St / Dundas St W,43.655350778457056,-79.38345966759798,21,3,24
680,Shaw St / King St W,43.6412561641921,-79.41502994047545,1,14,15
681,Portland St / Queen St W,43.6476,-79.4015,1,13,14
682,Yonge St / Merton St ,43.6962750705313,-79.39629396191867,20,3,23
683,Soudan Ave / Yonge St ,43.70430959999999,-79.3972815,13,5,18
684,Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,15,0,15
685,1612 Danforth Ave ,43.68370788065334,-79.32262453633884,10,5,15
686,75 Holly St - Green P,43.7063279,-79.3962499,1,22,23
687,Adelaide St W / Brant St - SMART,43.64600446255825,-79.39877642209015,3,14,17
688,Lisgar St / Queen St W - SMART,43.64299174164139,-79.42355911563249,2,18,20
689,Leslie St / Commissioners St  ,43.657275497390124,-79.32661544194183,1,13,14
690,Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,4,7,11
691,Lansdowne Subway Station,43.65922918158098,-79.44320901022282,6,17,23
692,Warden Subway Station,43.71161098023304,-79.28055565662231,9,10,19
693,Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,5,9,14
694,Wellington St W / Bay St,43.647259,-79.379878,25,2,27
